id;numero_processo;oficio;assunto;link_unico;link_trf;turma_trf_1;numero_processo_administrativo;numero_processo_judicial_primeira_instancia;numero_processo_judicial_primeira_instancia_link;numero_processo_judicial_primeira_instancia_observacoes;parecer;folhas_processo_concessao_liminar;concessao_liminar_observacoes;folhas_processo_cassacao;folhas_parecer;folhas_embargo;acordao_embargo;folhas_ciencia_julg_embargos;apelacao;folhas_apelacao;acordao_apelacao;folhas_ciencia_julg_apelacao;embargo_declaracao;embargo_recurso_extraordinario;folhas_recurso_especial;acordao_recurso_especial;folhas_ciencia_julgamento_recurso_especial;embargo_recurso_especial;folhas_ciencia;agravo_resp_re;folhas_resp_re;acordao_agravo_resp_re;folhas_ciencia_julgamento_agravo_resp_re;embargo_resp_re;agravo_interno;folhas_agravo_interno;embargo_recurso_agravo;observacoes;recurso_stj;link_recurso_stj;folhas_recurso_stj;recurso_stf;link_recurso_stf;folhas_recurso_stf;folhas_memorial_mpf;execusao_provisoria;numeracao_execusao_provisoria;recuperacao_efetiva_cumprimento_sentenca;recuperacao_efetiva_cumprimento_sentenca_observacoes;envolve_empreendimento;envolve_exploracao_ilegal;envolve_terra_quilombola;envolve_terra_comunidade_tradicional;envolve_terra_indigena;resumo_fatos;tamanho_area;valor_area;tamanho_area_observacao;dados_geograficos_litigio_conflito;latitude;longitude;numero_processo_mpf;numero_embargo;pauta_apelacao;numero_recurso_especial;admissiblidade;envolve_grande_projeto;envolve_unidade_conservacao;link_referencia;status_processo
1;task-force transmitter Sapatos;Senegal;../fake-data/blob/hipster.txt;transform Triple-buffered redundant;seamless;Account;programming Direct;Inteligente plug-and-play Burundi;Congelado Omani Loan;../fake-data/blob/hipster.txt;true;innovative;../fake-data/blob/hipster.txt;application;Team-oriented;SSL bypassing;../fake-data/blob/hipster.txt;Agent payment;Centralized Account;Toalhas Malásia reintermediate;../fake-data/blob/hipster.txt;Inteligente;false;true;Paradigm Aço synthesize;../fake-data/blob/hipster.txt;Gibraltar Travessa world-class;false;Amazonas;Ruble back-end;EXE copying impactful;../fake-data/blob/hipster.txt;compressing Sabonete Cambridgeshire;customized Investment digital;Frango;Account;false;../fake-data/blob/hipster.txt;false;Berkshire Rodovia;schemas communities;false;system;Paraná mindshare Genérico;generating function engage;true;Travessa;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;true;false;true;../fake-data/blob/hipster.txt;27307;44605;../fake-data/blob/hipster.txt;true;Macio Factors Loan;database eco-centric;ubiquitous;connecting application Saudita;../fake-data/blob/hipster.txt;index;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;EM_ANDAMENTO
2;transition programming hierarchy;Áustria Jóias;../fake-data/blob/hipster.txt;Mercearia Bicicleta;interfaces Crianças;Bola Card bronze;Buckinghamshire responsive Principal;functionalities;Rua;../fake-data/blob/hipster.txt;false;copying;../fake-data/blob/hipster.txt;calculating;açafrão;Regional;../fake-data/blob/hipster.txt;Plástico fuligem;magnetic indexing Metal;Riel withdrawal Front-line;../fake-data/blob/hipster.txt;calculating;false;false;Response;../fake-data/blob/hipster.txt;Technician haptic Marginal;false;intranet;panel bandwidth;Bicicleta;../fake-data/blob/hipster.txt;HDD;invoice Rio THX;Mesa compress;value-added Gostoso dourado;false;../fake-data/blob/hipster.txt;false;multi-byte knowledge;Lindo;false;Account Madeira;capability Myanmar Macio;Gold invoice Shilling;true;Aço grow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;false;false;false;../fake-data/blob/hipster.txt;66259;81892;../fake-data/blob/hipster.txt;true;Plástico content;Bedfordshire Beleza deposit;payment;Account compress;../fake-data/blob/hipster.txt;application aggregate;../fake-data/blob/hipster.txt;false;true;../fake-data/blob/hipster.txt;FINALIZADO
3;Danish Open-source;Rodovia;../fake-data/blob/hipster.txt;Dynamic Avenida challenge;frame açafrão Austrália;users methodologies Queijo;bandwidth;Cambridgeshire Market;Implementation Berkshire Metal;../fake-data/blob/hipster.txt;true;cross-platform;../fake-data/blob/hipster.txt;Account;Integration Bedfordshire Nigéria;Orchestrator Frango redundant;../fake-data/blob/hipster.txt;compress;Avon;Money generation payment;../fake-data/blob/hipster.txt;Corporate;false;true;Analyst;../fake-data/blob/hipster.txt;virtual Sergipe Goiás;false;Marginal;Ferramentas Cadeira paradigms;Customer e-business;../fake-data/blob/hipster.txt;Ferramentas;Pound Jardim solution;Riel Borracha;Assistant Peixe Analyst;false;../fake-data/blob/hipster.txt;true;Buckinghamshire;Chief;false;Uganda Automated Product;Profound;Paradigm Representative;true;RSS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;false;false;true;../fake-data/blob/hipster.txt;41649;59082;../fake-data/blob/hipster.txt;false;copying Home;ROI pixel;Corporate Madeira;Alameda;../fake-data/blob/hipster.txt;calculating Savings Metal;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;FINALIZADO
4;SCSI sticky;invoice;../fake-data/blob/hipster.txt;open-source incremental;Ilhas;Salgadinhos Faso;Cambridgeshire Metal composite;Jogos bus;monetize portals;../fake-data/blob/hipster.txt;false;violeta Integrated;../fake-data/blob/hipster.txt;Piauí hard bordô;encryption;success intelligence Forward;../fake-data/blob/hipster.txt;quantifying Product;Maiote AGP;Madeira bypass;../fake-data/blob/hipster.txt;Bola Computador;false;true;Esportes Chapéu utilize;../fake-data/blob/hipster.txt;Dollar Optional;true;Licenciado;Alameda;Auto Brinquedos;../fake-data/blob/hipster.txt;Calças;supply-chains Legacy;Piauí Re-contextualized generation;hacking Kenyan Assurance;true;../fake-data/blob/hipster.txt;true;infomediaries Account Feito;deposit;true;Avenida Berkshire Saúde;Cambridgeshire instruction;Eletrônicos;true;Liberian incentivize Maranhão;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;true;true;false;../fake-data/blob/hipster.txt;2681;8047;../fake-data/blob/hipster.txt;true;Synergistic;ferrugem quantify channels;Maurícia;wireless Producer scalable;../fake-data/blob/hipster.txt;São generating;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;FINALIZADO
5;Reactive ROI Forward;Internal XSS Bedfordshire;../fake-data/blob/hipster.txt;Marshall Teclado sexy;Program convergence roxo;world-class Director Synergistic;Federal niches compelling;panel Personal quantifying;Savings Travessa scalable;../fake-data/blob/hipster.txt;false;Salada;../fake-data/blob/hipster.txt;Alameda revolutionize Genérico;exploit Incrível Avon;Alagoas extranet panel;../fake-data/blob/hipster.txt;Fresco Reverse-engineered Bebê;Legacy;Borders Madeira Azerbaijão;../fake-data/blob/hipster.txt;Goiás castanho B2C;true;false;hack unleash;../fake-data/blob/hipster.txt;system multi-byte Manager;true;Metal bypassing navigating;Mali didactic monitor;bypassing Cook Tcheca;../fake-data/blob/hipster.txt;Ergonômico;salmão Jardim productize;Sapatos exuding deposit;Account Angola;false;../fake-data/blob/hipster.txt;true;mobile indexing;withdrawal Rio;true;communities hack;fresh-thinking Berkshire;hard bandwidth;true;compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;true;false;false;../fake-data/blob/hipster.txt;30030;28573;../fake-data/blob/hipster.txt;true;synergies Inteligente portal;verde Marginal;Itália;best-of-breed digital;../fake-data/blob/hipster.txt;Credit;../fake-data/blob/hipster.txt;true;true;../fake-data/blob/hipster.txt;FINALIZADO
6;Tunisian optical Suécia;RAM;../fake-data/blob/hipster.txt;Rodovia;Prático Multi-tiered blockchains;Alameda Concreto;Roupas Impressionante;quantify withdrawal;District generating;../fake-data/blob/hipster.txt;false;Teclado Frango paradigm;../fake-data/blob/hipster.txt;index;object-oriented;Grosso synergistic drive;../fake-data/blob/hipster.txt;Borders Avon Avon;Borracha;PCI visionary;../fake-data/blob/hipster.txt;virtual Luvas;false;true;withdrawal USB Developer;../fake-data/blob/hipster.txt;Nuevo limão Catarina;true;superstructure;Concreto;Loti Incrível;../fake-data/blob/hipster.txt;Buckinghamshire açafrão bus;fuligem Account Upgradable;Impressionante;sticky;false;../fake-data/blob/hipster.txt;true;revolutionize cross-platform Account;Borracha;true;partnerships;Rodovia;Jogos;true;enterprise Paraíba;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;false;false;false;../fake-data/blob/hipster.txt;30670;42062;../fake-data/blob/hipster.txt;true;monitor;Ergonomic compressing Rodovia;Auto cobre;Market Japão;../fake-data/blob/hipster.txt;AGP;../fake-data/blob/hipster.txt;true;false;../fake-data/blob/hipster.txt;FINALIZADO
7;bandwidth Travessa;Livros Prático core;../fake-data/blob/hipster.txt;Borracha Futuna Alameda;blockchains;SSL;Analyst Berkshire Facilitator;multi-byte matrix;Sol interfaces Piauí;../fake-data/blob/hipster.txt;true;Inteligente Marginal Functionality;../fake-data/blob/hipster.txt;cobre;Polônia Product Yemeni;Teclado São Pizza;../fake-data/blob/hipster.txt;Borders Jogos;FTP mão Austrália;contingency;../fake-data/blob/hipster.txt;virtual;false;true;Facilitator vermelho;../fake-data/blob/hipster.txt;generate platforms;true;withdrawal Rústico digital;payment Rua Computador;Avon Cambridgeshire;../fake-data/blob/hipster.txt;Graphic;bypassing deposit;fúchsia Pernambuco;FTP Marginal;true;../fake-data/blob/hipster.txt;false;asymmetric Avon;protocol Focused one-to-one;false;24/365 withdrawal payment;intranet Sapatos;value-added Beleza;false;algorithm overriding architectures;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;true;false;true;../fake-data/blob/hipster.txt;10915;34524;../fake-data/blob/hipster.txt;false;architect Libéria FTP;sexy Prático;Buckinghamshire;Operative;../fake-data/blob/hipster.txt;Loan transmit;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;EM_ANDAMENTO
8;Jogos;Jordânia;../fake-data/blob/hipster.txt;Marginal;TCP Digitized;Technician Jóias;Calças panel Federal;Intranet;bypassing;../fake-data/blob/hipster.txt;false;synthesizing;../fake-data/blob/hipster.txt;Jordânia compressing Madeira;Sapatos;bluetooth Esportes bypassing;../fake-data/blob/hipster.txt;bypass;transmitter Travessa Alameda;azul Savings;../fake-data/blob/hipster.txt;index quantify;true;true;Bicicleta;../fake-data/blob/hipster.txt;Granada Intuitive relationships;true;synthesizing Avon Ergonômico;Integration Congelado;invoice;../fake-data/blob/hipster.txt;Brinquedos Sem generating;bleeding-edge;Genérico Berkshire;Rua Amapá applications;false;../fake-data/blob/hipster.txt;false;grow;Rústico bypassing;false;cultivate Avenida IB;Niue;Rio;false;Chief systems PNG;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;false;true;false;../fake-data/blob/hipster.txt;37952;64891;../fake-data/blob/hipster.txt;false;EXE;platforms;Luvas background;Granito escarlate;../fake-data/blob/hipster.txt;dedicated protocol;../fake-data/blob/hipster.txt;true;false;../fake-data/blob/hipster.txt;FINALIZADO
9;Saúde cross-media conglomeration;navigate Luvas Tomé;../fake-data/blob/hipster.txt;Granito disintermediate;das Madeira CFA;model Computadores;Computadores;Account;Borders coherent;../fake-data/blob/hipster.txt;true;payment;../fake-data/blob/hipster.txt;Carro;Madeira;Gourde marca;../fake-data/blob/hipster.txt;compressing cobre;Cocos Dram cross-platform;Profit-focused;../fake-data/blob/hipster.txt;core deposit;true;true;deposit SMS deposit;../fake-data/blob/hipster.txt;Designer Prático Genérico;true;Impressionante;models;contingency Ergonômico;../fake-data/blob/hipster.txt;Marginal GB Credit;generating bypassing;sensor Avon quantify;Queijo;true;../fake-data/blob/hipster.txt;true;verde Bahia;withdrawal Robust radical;true;Licenciado secured overriding;Borders Zimbabwe Camiseta;iterate;true;revolutionize Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;false;false;true;../fake-data/blob/hipster.txt;55827;8538;../fake-data/blob/hipster.txt;true;SQL Pernambuco;relationships Refinado auxiliary;communities açafrão Usability;Algodão deposit;../fake-data/blob/hipster.txt;Impressionante;../fake-data/blob/hipster.txt;true;true;../fake-data/blob/hipster.txt;FINALIZADO
10;benchmark Madeira;Ferramentas Developer programming;../fake-data/blob/hipster.txt;Seamless;Paradigm payment infrastructures;Coordinator Sabonete;withdrawal extensible Consultant;copying Refinado withdrawal;Producer benchmark Exclusive;../fake-data/blob/hipster.txt;true;utilize Agent;../fake-data/blob/hipster.txt;Liaison streamline;neural;Austrália Malawi;../fake-data/blob/hipster.txt;Account;extensible Chief scale;Avon syndicate;../fake-data/blob/hipster.txt;Persistent Pará Automotivo;false;true;standardization Regional invoice;../fake-data/blob/hipster.txt;Operative;false;Developer open-source Madeira;Officer;deploy Licenciado;../fake-data/blob/hipster.txt;RAM primary National;RSS;Concreto;Re-contextualized;true;../fake-data/blob/hipster.txt;false;enhance;Card;true;whiteboard withdrawal Fantástico;Honduras Pound;rosa;false;prata;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;false;false;true;../fake-data/blob/hipster.txt;94350;70434;../fake-data/blob/hipster.txt;true;Teclado Alameda;Integrated;Etiópia;cohesive Namibia Grosso;../fake-data/blob/hipster.txt;disintermediate bluetooth Travessa;../fake-data/blob/hipster.txt;true;true;../fake-data/blob/hipster.txt;EM_ANDAMENTO
